team,tv_market_size,metro_population
ATL,2.649,6020364
BOS,2.490,4873019
BRK,7.453,19216182
CHO,1.291,2636883
CHI,3.472,9458539
CLE,1.512,2048449
DAL,2.963,7573136
DEN,1.798,2932415
DET,1.863,4319629
GSW,2.653,4731803
HOU,2.570,7066141
IND,1.183,2074537
LAC,5.735,13214799
LAL,5.735,13214799
MEM,0.620,1346045
MIA,1.693,6166488
MIL,0.922,1575179
MIN,1.887,3654908
NOP,0.664,1270530
NYK,7.453,19216182
OKC,0.755,1408950
ORL,1.731,2608147
PHI,2.997,6102434
PHO,2.158,4948203
POR,1.315,2492412
SAC,1.459,2363730
SAS,1.031,2550960
TOR,2.246,5928040
UTA,1.100,1232696
WAS,2.566,6280487
